Ancestor,Colony,Day,Clone.Number,Target.Name.x,mu.x,Median.x,sigma.x,PSRF_mu.x,PSRF_lp.x,Target.Name.y,mu.y,Median.y,sigma.y,PSRF_mu.y,PSRF_lp.y,ratio,ratio.se,Environment,ColonyID,Plasmid.size,mutated
Anc,1,0,DOD 67,trfA,0.003828224,0.001924634,0.000249354,1.010435461,1.00199853,16S rRNA gene,0.015061056,0.01192552,0.000287342,1.0003495,1.005415467,0.161387835,0.000159603,Anc,Anc-1,64508,anc
Anc,1,1,DOD 67,trfA,0.09457708,0.041619399,0.002323451,1.013989185,1.025535455,16S rRNA gene,0.145759184,0.115023766,0.002069769,1.005618566,1.028301777,0.36183304,0.000155315,Anc,Anc-1,64508,anc
Anc,1,2,DOD 67,trfA,0.025662239,0.012652273,0.00082576,1.001697689,1.010062099,16S rRNA gene,0.11292221,0.082898861,0.001853042,1.000855978,1.003707611,0.152623004,6.72E-05,Anc,Anc-1,64508,anc
Anc,1,3,DOD 67,trfA,0.010875507,0.00313984,0.000698444,1.006672495,1.0119052,16S rRNA gene,0.087916811,0.049439303,0.001732439,1.063726587,1.562722905,0.063508986,9.70E-05,Anc,Anc-1,64508,anc
Anc,1,4,DOD 67,trfA,0.020367955,0.003370818,0.000950347,1.011713238,1.024547692,16S rRNA gene,0.189289886,0.109793852,0.003512776,1.00053359,1.063460845,0.030701336,5.17E-05,Anc,Anc-1,64508,anc
Anc,1,5,DOD 67,trfA,0.001038206,0.000304166,0.000280176,1.000256103,1.091444265,16S rRNA gene,0.203393463,0.096778092,0.003548031,1.85130373,1.022336927,0.003142925,1.45E-05,Anc,Anc-1,64508,anc
Anc,1,6,DOD 67,trfA,0.000133891,1.18E-05,3.97E-05,1.000621997,1.000681769,16S rRNA gene,0.12495928,0.099254203,0.001744796,1.004554642,1.146825557,0.000118956,1.36E-06,Anc,Anc-1,64508,anc
Anc,1,7,DOD 67,trfA,2.93E-05,7.56E-06,2.34E-06,1.002463871,1.005007292,16S rRNA gene,0.109762876,0.080612825,0.001756618,1.00062025,1.009707779,9.38E-05,5.79E-08,Anc,Anc-1,64508,anc
Anc,1,8,DOD 67,trfA,8.73E-05,9.87E-06,3.17E-05,1.000884934,1.050570231,16S rRNA gene,0.189353671,0.105849803,0.004649902,1.156637181,1.093004824,9.32E-05,9.15E-07,Anc,Anc-1,64508,anc
Anc,1,9,DOD 67,trfA,0.67764914,0.518331816,0.009407716,1.007189416,1.017124723,16S rRNA gene,0.407673173,0.262764867,0.006765569,1.003072558,1.005443229,1.972607005,0.000579698,Anc,Anc-1,64508,anc
DOD 1487,1,0,DOD 1508,trfA gene,0.000291734,0.000252176,5.30E-06,1.002687906,1.004974958,16S rRNA gene,0.007137882,0.006280506,0.000123179,1.005225966,1.011321602,0.040152191,4.87E-06,Starting,DOD 1487-1,64508,unchanged
DOD 1487,1,5,DOD 1508,trfA gene,0.00030074,8.32E-05,8.91E-05,1.000399216,1.001175235,16S rRNA gene,0.014012239,0.009810487,0.000401246,1.001868912,1.006994941,0.008478258,5.54E-05,Starting,DOD 1487-1,64508,unchanged
DOD 1487,1,8,DOD 1508,trfA gene,0.051456111,0.001311901,0.002227695,1.001025139,1.003891779,16S rRNA gene,0.023073431,0.010798135,0.000818848,1.005155057,1.000433421,0.121493276,0.002349744,Starting,DOD 1487-1,64508,unchanged
DOD 1487,1_2,8,1508,trfA gene,3.30E-06,8.80E-07,4.95E-07,1.003406268,1.000200415,16S rRNA gene,0.067177261,0.049915319,0.001164042,1.001880236,1.000503576,1.76E-05,1.51E-08,Starting,DOD 1487-1_2,64508,unchanged
DOD 1487,2,0,DOD 1509,trfA gene,0.000363776,0.000309233,6.53E-06,1.004087038,1.002791884,16S rRNA gene,0.008179211,0.006111561,0.000317384,1.006179202,1.022456081,0.050597978,1.38E-05,Starting,DOD 1487-2,64508,unchanged
DOD 1487,2,5,DOD 1509,trfA gene,4.62E-05,1.75E-05,4.36E-06,1.004349085,1.003152633,16S rRNA gene,0.033782224,0.01472011,0.001016996,1.000558361,1.005093837,0.001191117,9.56E-07,Starting,DOD 1487-2,64508,unchanged
DOD 1487,2,8,DOD 1509,trfA gene,4.84E-08,1.12E-08,7.43E-09,1.000535379,1.011789911,16S rRNA gene,0.016850881,0.010633619,0.000529899,1.003149435,1.041664608,1.05E-06,6.46E-10,Starting,DOD 1487-2,64508,unchanged
DOD 1487,3,0,DOD 1510,trfA gene,0.046401878,0.030773678,0.001046376,1.002315158,1.001064509,16S rRNA gene,0.006003787,0.00527755,6.92E-05,0.999661768,1.002661962,5.831054289,0.002476081,Starting,DOD 1487-3,64508,unchanged
DOD 1487,3,5,DOD 1510,trfA gene,0.000946325,0.000440506,0.000112567,1.000390353,1.008017509,16S rRNA gene,0.009263466,0.006526054,0.000274089,1.010951866,1.016711686,0.067499616,0.000123232,Starting,DOD 1487-3,64508,unchanged
DOD 1487,3,8,DOD 1510,trfA gene,2.84E-06,1.54E-06,1.81E-07,1.002591241,1.008195689,16S rRNA gene,0.014501071,0.011875617,0.000287632,1.004011451,1.029086287,0.00012938,2.86E-08,Starting,DOD 1487-3,64508,unchanged
DOD 1487,3_2,0,1510,trfA gene,0.005484319,0.002166204,0.000337735,1.002892149,1.00622353,16S rRNA gene,0.143169351,0.109909869,0.002136236,1.000836144,1.001390809,0.019708911,1.56E-05,Starting,DOD 1487-3_2,64508,unchanged
DOD 1487,4,0,DOD 1511,trfA gene,0.000790692,0.000383806,0.00011228,1.000413397,1.002448895,16S rRNA gene,0.009665831,0.008266802,0.000148494,1.003036702,1.044405581,0.046427443,9.11E-05,Starting,DOD 1487-4,64364,smalldel
DOD 1487,4,5,DOD 1511,trfA gene,0.000109748,7.29E-05,4.78E-06,1.00110585,1.000008733,16S rRNA gene,0.031892029,0.014967361,0.001020246,1.000943076,1.006636073,0.004871732,1.64E-06,Starting,DOD 1487-4,64364,smalldel
DOD 1487,4,8,DOD 1511,trfA gene,7.28E-06,1.76E-06,9.75E-07,1.002001023,1.003185821,16S rRNA gene,0.017561516,0.013151869,0.000394969,1.002272667,1.006886963,0.000134147,1.84E-07,Starting,DOD 1487-4,64364,smalldel
DOD 1487,5,0,DOD 1512,trfA gene,7.86E-08,5.67E-08,2.74E-09,1.000705448,1.000626344,16S rRNA gene,0.005317551,0.004711211,0.000120142,1.00468671,1.215248332,1.20E-05,6.05E-10,Starting,DOD 1487-5,64508,unchanged
DOD 1487,5,5,DOD 1512,trfA gene,0.000102625,1.05E-05,1.44E-05,1.000046235,1.007949004,16S rRNA gene,0.009123004,0.006756607,0.000313865,1.000924848,1.011325546,0.001553256,9.84E-06,Starting,DOD 1487-5,64508,unchanged
DOD 1487,5,8,DOD 1512,trfA gene,2.97E-07,7.07E-08,5.81E-08,1.002962435,1.014042725,16S rRNA gene,0.014573102,0.010477945,0.000382742,1.001955002,1.016651209,6.75E-06,8.16E-09,Starting,DOD 1487-5,64508,unchanged
DOD 1487,5_2,0,1512,trfA gene,0.00022541,0.000164469,1.33E-05,1.004362463,1.007656981,16S rRNA gene,0.028335885,0.021146811,0.00059926,1.002407021,1.011094796,0.007777495,2.43E-06,Starting,DOD 1487-5_2,64508,unchanged
DOD 1487,6,0,DOD 1513,trfA gene,3.30E-10,1.20E-10,2.43E-11,1.003045568,1.001896525,16S rRNA gene,0.019030621,0.017565565,0.000183148,1.00939368,1.027828274,6.83E-09,3.69E-13,Starting,DOD 1487-6,64508,unchanged
DOD 1487,6,5,DOD 1513,trfA gene,0.000160272,3.46E-05,2.78E-05,0.999959772,1.002541332,16S rRNA gene,0.028373163,0.010184409,0.000926794,1.001816163,1.005788995,0.003398975,1.31E-05,Starting,DOD 1487-6,64508,unchanged
